[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.007891s ]
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.008120s ]
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000943s ]
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000979s ]
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Tag[ view_template ] --START--
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000442s ]
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000474s ]
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | INFO: Tag[ view_parse ] --START--
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T12:09:57+08:00 ] /marchsoft.cn/admin.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
