[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Tag[ route_check ] --START--
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Run CheckRoute Behavior [ RunTime:0.000068s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000175s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000060s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000093s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | SQL: SHOW COLUMNS FROM `march_prize` [ RunTime:0.000564s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | SQL: SELECT COUNT(*) AS tp_count FROM `march_prize` LIMIT 1   [ RunTime:0.000181s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8] Undefined index: header Page.class.php 第 137 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | SQL: SELECT * FROM `march_prize` ORDER BY prize_id desc LIMIT 0,5   [ RunTime:0.000152s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Tag[ view_template ] --START--
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000079s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000114s ]
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-10T14:00:57+08:00 ] /marchsoft.cn/admin.php/Prize/prizelist.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
