[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Tag[ route_check ] --START--
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Run CheckRoute Behavior [ RunTime:0.000072s ]
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Tag[ route_check ] --END-- [ RunTime:0.000178s ]
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Tag[ app_begin ] --START--
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000062s ]
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000093s ]
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Tag[ view_template ] --START--
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Run LocationTemplate Behavior [ RunTime:0.000070s ]
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Tag[ view_template ] --END-- [ RunTime:0.000135s ]
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | INFO: Tag[ view_parse ] --START--
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-10T21:37:47+08:00 ] /marchsoft.cn/admin.php/Prize/addprize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
