[ 2016-10-16T16:59:17+08:00 ] /admin.php/index/login | ERR: (ThinkException) 无法加载模块index
[ 2016-10-16T16:59:25+08:00 ] /admin.php/index/login.html | ERR: (ThinkException) 无法加载模块index
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Tag[ route_check ] --START--
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Run CheckRoute Behavior [ RunTime:0.000105s ]
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000245s ]
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000084s ]
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000125s ]
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_template ] --START--
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000108s ]
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000194s ]
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:59:34+08:00 ] /admin.php/Index/login.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
