[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Tag[ route_check ] --START--
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Run CheckRoute Behavior [ RunTime:0.000059s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Tag[ route_check ] --END-- [ RunTime:0.000164s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Tag[ app_begin ] --START--
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000045s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000065s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8] Undefined index: sort KnowledgeAction.class.php 第 33 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8] Undefined index: sort KnowledgeAction.class.php 第 39 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | SQL: SHOW COLUMNS FROM `march_article` [ RunTime:0.023288s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | SQL: SELECT COUNT(*) AS tp_count FROM `march_article` WHERE ( march_article.article_sort = null ) LIMIT 1   [ RunTime:0.022935s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | SQL: SELECT march_user.user_name,march_article.article_title,march_article.article_id,march_article.article_time,march_article.article_tags,march_article.article_num,march_sort.sort_name,march_user_info.avator,march_user_info.blog,march_article.article_content FROM `march_article` LEFT JOIN march_user ON march_user.user_phone = march_article.user_phone LEFT JOIN march_user_info ON march_user_info.user_phone = march_article.user_phone LEFT JOIN march_sort ON march_article.article_sort=march_sort.idmarch_sort WHERE ( march_article.article_sort = null ) ORDER BY march_article.article_id desc LIMIT 0,10   [ RunTime:0.022921s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Tag[ view_template ] --START--
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Run LocationTemplate Behavior [ RunTime:0.000107s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Tag[ view_template ] --END-- [ RunTime:0.000137s ]
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | INFO: Tag[ view_parse ] --START--
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-09T17:33:04+08:00 ] /index.php/Knowledge/klist | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
