[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Tag[ route_check ] --START--
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Run CheckRoute Behavior [ RunTime:0.000093s ]
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000226s ]
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Tag[ app_begin ] --START--
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000053s ]
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000084s ]
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | SQL: SHOW COLUMNS FROM `march_intro` [ RunTime:0.022997s ]
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | SQL: SELECT * FROM `march_intro` WHERE idmarch_intro = 1  [ RunTime:0.022911s ]
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Tag[ view_template ] --START--
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000098s ]
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000125s ]
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | INFO: Tag[ view_parse ] --START--
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-16T18:08:02+08:00 ] /index.php/Introduce/introteam.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
