[ 2016-09-17T15:07:04+08:00 ] /index.php/Grow/addjotting | INFO: Tag[ route_check ] --START--
[ 2016-09-17T15:07:04+08:00 ] /index.php/Grow/addjotting | INFO: Run CheckRoute Behavior [ RunTime:0.000078s ]
[ 2016-09-17T15:07:04+08:00 ] /index.php/Grow/addjotting | INFO: Tag[ route_check ] --END-- [ RunTime:0.000208s ]
[ 2016-09-17T15:07:04+08:00 ] /index.php/Grow/addjotting | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-17T15:07:04+08:00 ] /index.php/Grow/addjotting | INFO: Tag[ app_begin ] --START--
[ 2016-09-17T15:07:04+08:00 ] /index.php/Grow/addjotting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000071s ]
[ 2016-09-17T15:07:04+08:00 ] /index.php/Grow/addjotting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000102s ]
[ 2016-09-17T15:07:04+08:00 ] /index.php/Grow/addjotting | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-17T15:07:05+08:00 ] /index.php/Grow/addjotting | SQL: SHOW COLUMNS FROM `march_march_jottings` [ RunTime:0.023096s ]
[ 2016-09-17T15:07:05+08:00 ] /index.php/Grow/addjotting | SQL: select us.Num,us.Jtitle,us.id,us.Title,us.Img,us.Jcontent,us.Jtime,er.user_name FROM march_jottings us
					left join march_user er on  er.user_phone = us.user_phone where us.State = 1 
					order by Jtime desc limit 6,3 [ RunTime:0.069129s ]
[ 2016-09-17T15:07:05+08:00 ] /index.php/Grow/addjotting | INFO: Tag[ route_check ] --START--
[ 2016-09-17T15:07:05+08:00 ] /index.php/Grow/addjotting | INFO: Run CheckRoute Behavior [ RunTime:0.000082s ]
[ 2016-09-17T15:07:05+08:00 ] /index.php/Grow/addjotting | INFO: Tag[ route_check ] --END-- [ RunTime:0.000189s ]
[ 2016-09-17T15:07:05+08:00 ] /index.php/Grow/addjotting | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
