[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | INFO: Tag[ route_check ] --START--
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | INFO: Run CheckRoute Behavior [ RunTime:0.000052s ]
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | INFO: Tag[ route_check ] --END-- [ RunTime:0.000152s ]
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | INFO: Tag[ app_begin ] --START--
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000064s ]
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000093s ]
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | SQL: SHOW COLUMNS FROM `march_intro` [ RunTime:0.023315s ]
[ 2016-09-19T03:50:19+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | SQL: SELECT * FROM `march_intro` WHERE idmarch_intro = 2  [ RunTime:0.022851s ]
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | INFO: Tag[ view_template ] --START--
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | INFO: Run LocationTemplate Behavior [ RunTime:0.000143s ]
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | INFO: Tag[ view_template ] --END-- [ RunTime:0.000183s ]
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | INFO: Tag[ view_parse ] --START--
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-19T03:50:20+08:00 ] /index.php/Introduce/introteacher | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
