[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | INFO: Tag[ route_check ] --START--
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | INFO: Run CheckRoute Behavior [ RunTime:0.000087s ]
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | INFO: Tag[ route_check ] --END-- [ RunTime:0.000218s ]
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | INFO: Tag[ app_begin ] --START--
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000076s ]
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000111s ]
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | SQL: SHOW COLUMNS FROM `march_lecture` [ RunTime:0.017132s ]
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-20T10:36:10+08:00 ] /index.php/Lecture/add_lecture | SQL: SELECT * FROM `march_lecture` ORDER BY idmarch_lecture desc LIMIT 10,10   [ RunTime:0.016894s ]
[ 2016-09-20T10:36:32+08:00 ] /index.php/Lecture/add_lecture | INFO: Tag[ route_check ] --START--
[ 2016-09-20T10:36:32+08:00 ] /index.php/Lecture/add_lecture | INFO: Run CheckRoute Behavior [ RunTime:0.000092s ]
[ 2016-09-20T10:36:32+08:00 ] /index.php/Lecture/add_lecture | INFO: Tag[ route_check ] --END-- [ RunTime:0.000214s ]
[ 2016-09-20T10:36:32+08:00 ] /index.php/Lecture/add_lecture | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-20T10:36:32+08:00 ] /index.php/Lecture/add_lecture | INFO: Tag[ app_begin ] --START--
[ 2016-09-20T10:36:32+08:00 ] /index.php/Lecture/add_lecture | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000067s ]
[ 2016-09-20T10:36:32+08:00 ] /index.php/Lecture/add_lecture | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000122s ]
[ 2016-09-20T10:36:32+08:00 ] /index.php/Lecture/add_lecture | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-20T10:36:33+08:00 ] /index.php/Lecture/add_lecture | SQL: SHOW COLUMNS FROM `march_lecture` [ RunTime:0.017127s ]
[ 2016-09-20T10:36:33+08:00 ] /index.php/Lecture/add_lecture | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-20T10:36:33+08:00 ] /index.php/Lecture/add_lecture | SQL: SELECT * FROM `march_lecture` ORDER BY idmarch_lecture desc LIMIT 20,10   [ RunTime:0.016964s ]
[ 2016-09-20T10:36:47+08:00 ] /index.php/Index/home | INFO: Tag[ route_check ] --START--
[ 2016-09-20T10:36:47+08:00 ] /index.php/Index/home | INFO: Run CheckRoute Behavior [ RunTime:0.000085s ]
[ 2016-09-20T10:36:47+08:00 ] /index.php/Index/home | INFO: Tag[ route_check ] --END-- [ RunTime:0.000215s ]
[ 2016-09-20T10:36:47+08:00 ] /index.php/Index/home | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-20T10:36:47+08:00 ] /index.php/Index/home | INFO: Tag[ app_begin ] --START--
[ 2016-09-20T10:36:47+08:00 ] /index.php/Index/home | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000082s ]
[ 2016-09-20T10:36:47+08:00 ] /index.php/Index/home | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000116s ]
[ 2016-09-20T10:36:47+08:00 ] /index.php/Index/home | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
