[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | INFO: Tag[ route_check ] --START--
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | INFO: Run CheckRoute Behavior [ RunTime:0.000085s ]
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000175s ]
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | INFO: Tag[ app_begin ] --START--
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000056s ]
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000085s ]
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | SQL: SHOW COLUMNS FROM `march_article` [ RunTime:0.017325s ]
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | SQL: SELECT COUNT(*) AS tp_count FROM `march_article` LIMIT 1   [ RunTime:0.017403s ]
[ 2016-09-21T18:58:35+08:00 ] /index.php/Knowledge/klist?sort=0000000000&p=6 | NOTIC: [8] Undefined index: header Page.class.php 第 137 行.
