[ 2016-09-26T11:22:28+08:00 ] /index.php/News.html?p=16 | INFO: Tag[ route_check ] --START--
[ 2016-09-26T11:22:28+08:00 ] /index.php/News.html?p=16 | INFO: Run CheckRoute Behavior [ RunTime:0.000062s ]
[ 2016-09-26T11:22:28+08:00 ] /index.php/News.html?p=16 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000161s ]
[ 2016-09-26T11:22:28+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-26T11:22:28+08:00 ] /index.php/News.html?p=16 | INFO: Tag[ app_begin ] --START--
[ 2016-09-26T11:22:28+08:00 ] /index.php/News.html?p=16 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000048s ]
[ 2016-09-26T11:22:28+08:00 ] /index.php/News.html?p=16 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000069s ]
[ 2016-09-26T11:22:28+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | SQL: SHOW COLUMNS FROM `march_news` [ RunTime:0.017423s ]
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | SQL: SELECT COUNT(*) AS tp_count FROM `march_news` WHERE news_type = '1' LIMIT 1   [ RunTime:0.017161s ]
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8] Undefined index: first Page.class.php 第 108 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8] Undefined index: header Page.class.php 第 137 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | SQL: SELECT * FROM `march_news` WHERE news_type = '1' ORDER BY news_stick desc,news_date DESC LIMIT 120,8   [ RunTime:0.051766s ]
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | INFO: Tag[ view_template ] --START--
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | INFO: Run LocationTemplate Behavior [ RunTime:0.000147s ]
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000191s ]
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | INFO: Tag[ view_parse ] --START--
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-26T11:22:29+08:00 ] /index.php/News.html?p=16 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
