[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Tag[ route_check ] --START--
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Run CheckRoute Behavior [ RunTime:0.000088s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Tag[ route_check ] --END-- [ RunTime:0.000218s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Tag[ app_begin ] --START--
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000087s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000138s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | SQL: SHOW COLUMNS FROM `march_march_prize_don` [ RunTime:0.000513s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8] Use of undefined constant ture - assumed 'ture' PrizeAction.class.php 第 19 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | SQL: SELECT COUNT(*) AS tp_count FROM `march_march_prize_don` WHERE ture LIMIT 1   [ RunTime:0.000155s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | SQL: SELECT * FROM `march_march_prize_don` ORDER BY don_time DESC LIMIT 0,8   [ RunTime:0.000131s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Tag[ view_template ] --START--
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Run LocationTemplate Behavior [ RunTime:0.000082s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Tag[ view_template ] --END-- [ RunTime:0.000114s ]
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | INFO: Tag[ view_parse ] --START--
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:49:09+08:00 ] /marchsoft.cn/index.php/Prize/prize | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
