[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Tag[ route_check ] --START--
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Run CheckRoute Behavior [ RunTime:0.000062s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000150s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Tag[ app_begin ] --START--
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000055s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000080s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | SQL: SHOW COLUMNS FROM `march_prize_don` [ RunTime:0.000468s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | SQL: SELECT COUNT(*) AS tp_count FROM `march_prize_don` LIMIT 1   [ RunTime:0.000065s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8] Undefined index: header Page.class.php 第 137 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | SQL: SELECT * FROM `march_prize_don` ORDER BY don_time DESC LIMIT 0,8   [ RunTime:0.000063s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Tag[ view_template ] --START--
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000069s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000098s ]
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | INFO: Tag[ view_parse ] --START--
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-08T00:58:17+08:00 ] /marchsoft.cn/index.php/Prize/prize?&p=1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
