[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Tag[ route_check ] --START--
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Run CheckRoute Behavior [ RunTime:0.000054s ]
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000130s ]
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000049s ]
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000075s ]
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8] Undefined index: id PrizeAction.class.php 第 62 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Tag[ view_template ] --START--
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000035s ]
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000056s ]
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T16:04:13+08:00 ] /index.php/Prize/prizer.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
