[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Tag[ route_check ] --START--
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Run CheckRoute Behavior [ RunTime:0.000040s ]
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Tag[ route_check ] --END-- [ RunTime:0.000099s ]
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Tag[ app_begin ] --START--
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000034s ]
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000049s ]
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Tag[ view_template ] --START--
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Run LocationTemplate Behavior [ RunTime:0.000027s ]
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Tag[ view_template ] --END-- [ RunTime:0.000047s ]
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | INFO: Tag[ view_parse ] --START--
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-02-07T15:53:06+08:00 ] /index.php/Pay/pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
