[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Tag[ route_check ] --START--
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000048s ]
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000107s ]
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000045s ]
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000065s ]
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | SQL: SHOW COLUMNS FROM `march_photo` [ RunTime:0.000292s ]
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | SQL: SELECT * FROM `march_photo` ORDER BY idmarch_photo DESC  [ RunTime:0.000046s ]
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Tag[ view_template ] --START--
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000046s ]
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000066s ]
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-15T09:47:31+08:00 ] /index.php/Photo/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
