[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Tag[ route_check ] --START--
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Run CheckRoute Behavior [ RunTime:0.000047s ]
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000120s ]
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Tag[ app_begin ] --START--
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000035s ]
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000051s ]
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | SQL: SHOW COLUMNS FROM `march_prize` [ RunTime:0.001306s ]
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | SQL: SELECT * FROM `march_prize` WHERE prize_id=8  [ RunTime:0.000071s ]
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Tag[ view_template ] --START--
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Run LocationTemplate Behavior [ RunTime:0.000054s ]
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000077s ]
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | INFO: Tag[ view_parse ] --START--
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-16T19:40:39+08:00 ] /index.php/Prize/prizer.html?id=8 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
