[ 2016-10-17T12:08:24+08:00 ] /index.php/Prize/prizer/id/7.html | INFO: Tag[ route_check ] --START--
[ 2016-10-17T12:08:24+08:00 ] /index.php/Prize/prizer/id/7.html | INFO: Run CheckRoute Behavior [ RunTime:0.001021s ]
[ 2016-10-17T12:08:24+08:00 ] /index.php/Prize/prizer/id/7.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001080s ]
[ 2016-10-17T12:08:24+08:00 ] /index.php/Prize/prizer/id/7.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-17T12:08:24+08:00 ] /index.php/Prize/prizer/id/7.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005917s ]
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005944s ]
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | SQL: SHOW COLUMNS FROM `march_prize_don` [ RunTime:0.000328s ]
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | SQL: SELECT * FROM `march_prize_don` ORDER BY don_num desc LIMIT 1   [ RunTime:0.000260s ]
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | SQL: SELECT * FROM `march_prize_don` GROUP BY don_name  [ RunTime:0.000179s ]
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-17T12:08:25+08:00 ] /index.php/Prize/prizer/id/7.html | SQL: SELECT SUM(don_num) AS tp_sum FROM `march_prize_don` WHERE don_name="asd" LIMIT 1   [ RunTime:0.000151s ]
