[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | INFO: Tag[ route_check ] --START--
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | INFO: Run CheckRoute Behavior [ RunTime:0.000034s ]
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | INFO: Tag[ route_check ] --END-- [ RunTime:0.000093s ]
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | INFO: Tag[ app_begin ] --START--
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000029s ]
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000044s ]
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | SQL: SHOW COLUMNS FROM `march_prize_don` [ RunTime:0.000287s ]
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | SQL: SELECT SUM(don_num) AS tp_sum FROM `march_prize_don` LIMIT 1   [ RunTime:0.000037s ]
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | SQL: SELECT * FROM `march_prize_don` GROUP BY don_name  [ RunTime:0.000030s ]
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | SQL: SELECT SUM(don_num) AS tp_sum FROM `march_prize_don` WHERE don_name="xiaosang" LIMIT 1   [ RunTime:0.000027s ]
[ 2017-02-07T16:20:56+08:00 ] /index.php/Pay | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
