[ 2016-10-07T19:43:05+08:00 ] /oa.php | INFO: Tag[ app_begin ] --START--
[ 2016-10-07T19:43:05+08:00 ] /oa.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000054s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000133s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SHOW COLUMNS FROM `march_user_info` [ RunTime:0.000319s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SELECT * FROM `march_user_info` WHERE user_phone=15225961831 LIMIT 1   [ RunTime:0.000178s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SHOW COLUMNS FROM `march_news` [ RunTime:0.000273s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SELECT * FROM `march_news` WHERE ( `news_type` = 2 ) AND ( `news_date` LIKE '2016-10-07%' ) ORDER BY idmarch_news desc  [ RunTime:0.000357s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SELECT COUNT(*) AS tp_count FROM `march_news` WHERE ( `news_type` = 2 ) AND ( `news_date` LIKE '2016-10-07%' ) LIMIT 1   [ RunTime:0.000292s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SHOW COLUMNS FROM `march_notice` [ RunTime:0.000481s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-10-07T19:43:05+08:00 ] /oa.php | SQL: SELECT COUNT(*) AS tp_count FROM `march_notice` WHERE ( `date` LIKE '2016-10-07%' ) AND ( `user_id` = '176' ) LIMIT 1   [ RunTime:0.000187s ]
[ 2016-10-07T19:43:05+08:00 ] /oa.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
